room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_2_093_2_161,longitude_disc_2_161_2_177,longitude_disc_2_177_2_226,latitude_disc_2_093_2_161,latitude_disc_2_161_2_177,latitude_disc_2_177_2_226
1,1,2.0,0,1,0,9.0,89.0,1,1.2434044,0.5231791,2.18075,41.37939,1,213.88507,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,100.0,1,6.0603704,0.7904213,2.18137,41.44105,1,130.56532,False,False,True,False,False,True
2,0,3.0,0,0,1,10.0,95.0,1,1.2809933,0.7297014,2.17525,41.39798,0,485.95435,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,93.0,1,2.0903141,0.12785968,2.17517,41.40556,0,115.670166,False,True,False,False,True,False
1,1,2.0,0,1,0,8.0,74.0,1,2.934882,0.3591775,2.13996,41.37348,1,138.94385,True,False,False,True,False,False
1,1,2.0,1,0,0,10.0,96.0,1,2.0284986,0.062472187,2.17452,41.40509,0,254.61401,False,True,False,False,True,False
2,0,4.0,1,0,1,10.0,90.0,2,2.625931,0.19402751,2.14426,41.3736,0,379.3609,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,96.0,1,4.2270093,0.5781923,2.21183,41.40854,1,179.44003,False,False,True,False,False,True
1,1,3.0,0,1,0,10.0,98.0,2,1.3152949,0.67377424,2.17464,41.39846,0,295.1102,False,True,False,False,True,False
1,1,3.0,1,1,0,10.0,95.0,2,0.967176,0.42056617,2.16964,41.37843,1,237.15875,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,87.0,1,1.0761132,0.41283953,2.16607,41.37791,0,167.80319,False,True,False,False,True,False
1,1,2.0,0,0,1,10.0,100.0,1,2.1744833,0.3393631,2.17823,41.40572,1,305.58334,False,False,True,False,False,True
1,1,2.0,0,0,0,9.0,93.0,1,0.92403215,0.48708975,2.16751,41.37903,1,143.36584,False,True,False,False,True,False
1,1,2.0,0,0,0,9.0,91.0,1,2.0396538,0.5931313,2.14792,41.39493,1,136.38374,True,False,False,True,False,False
1,1,2.0,0,1,0,10.0,92.0,1,2.855334,0.63530403,2.188,41.409,0,148.25331,False,False,True,False,False,True
1,1,2.0,0,0,0,10.0,100.0,1,1.8147289,0.8250042,2.16483,41.40301,0,138.94385,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,100.0,1,1.8026403,0.35122427,2.15467,41.37573,0,190.84413,True,False,False,True,False,False
1,1,2.0,0,1,0,9.0,70.0,1,0.8364731,0.42252976,2.16157,41.39118,0,219.70349,False,True,False,False,True,False
2,0,4.0,0,0,1,10.0,91.0,1,1.1955935,0.5799106,2.17717,41.39646,0,474.3175,False,False,True,False,False,True
1,1,2.0,0,1,0,9.0,94.0,2,2.7161977,0.21367465,2.1453,41.40302,0,231.57307,True,False,False,True,False,False
1,1,2.0,0,1,0,10.0,93.0,1,2.888326,0.5082109,2.1781,41.41243,1,143.36584,False,False,True,False,False,True
1,1,2.0,0,0,0,9.0,94.0,1,3.2653906,1.620688,2.20558,41.39929,1,161.98477,False,False,True,False,False,True
1,1,2.0,0,1,0,10.0,90.0,1,0.6385615,0.28133976,2.17609,41.39062,0,267.64728,False,True,False,False,True,False
1,1,4.0,0,0,0,9.0,90.0,1,4.166831,0.49433333,2.12109,41.37999,1,208.2994,True,False,False,True,False,False
1,1,3.0,0,1,0,10.0,100.0,1,2.7948327,0.71099323,2.18513,41.40959,1,182.93109,False,False,True,False,False,True
1,1,2.0,0,1,0,10.0,100.0,1,1.926244,0.87817276,2.16402,41.40389,1,150.58067,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,100.0,1,2.949805,0.8831896,2.18327,41.41176,1,136.61647,False,False,True,False,False,True
2,0,5.0,0,1,0,10.0,100.0,3,1.626824,0.24354485,2.16831,41.37254,0,512.71906,False,True,False,False,True,False
1,1,2.0,0,0,0,6.0,60.0,1,2.2660897,0.38742933,2.19679,41.39029,1,185.25845,False,False,True,False,False,True
