room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_2_248_2_332,longitude_disc_2_332_2_359,longitude_disc_2_359_2_439,latitude_disc_2_248_2_332,latitude_disc_2_332_2_359,latitude_disc_2_359_2_439
2,0,2.0,0,0,1,9.0,91.0,1,1.2713071,0.19698325,2.34905,48.86774,0,287.30542,False,True,False,False,True,False
2,0,2.0,0,0,0,10.0,100.0,0,2.4298666,0.19489709,2.33452,48.87482,0,394.02554,False,True,False,False,True,False
2,0,2.0,0,0,0,8.0,87.0,0,1.8938298,0.28132528,2.36705,48.87075,1,226.02293,False,False,True,False,False,True
2,0,4.0,0,0,0,8.0,100.0,1,3.0161228,0.25794736,2.39362,48.85363,0,296.85898,False,False,True,False,False,True
2,0,4.0,0,0,0,8.0,90.0,1,5.5547047,0.38520405,2.28126,48.87307,0,369.55914,True,False,False,True,False,False
2,0,2.0,0,0,0,9.0,93.0,1,3.315428,0.20423123,2.34678,48.88613,0,224.39183,False,True,False,False,True,False
2,0,4.0,0,0,0,9.0,93.0,2,2.2117894,0.2456787,2.37781,48.86763,0,449.71573,False,False,True,False,False,True
2,0,4.0,0,0,0,6.0,50.0,1,5.329964,0.4011857,2.28661,48.83673,0,243.26591,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,95.0,1,3.4150796,0.06859815,2.39771,48.86454,1,271.46054,False,False,True,False,False,True
2,0,6.0,0,0,1,10.0,98.0,2,0.82395625,0.22465831,2.36387,48.85554,0,1235.4366,False,False,True,False,False,True
2,0,4.0,0,0,0,9.0,85.0,1,3.001201,0.303571,2.31225,48.86042,1,579.50415,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,100.0,1,3.0752227,0.115380734,2.36129,48.88365,0,312.7039,False,False,True,False,False,True
