room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_12_401_12_471,longitude_disc_12_471_12_499,longitude_disc_12_499_12_583,latitude_disc_12_401_12_471,latitude_disc_12_471_12_499,latitude_disc_12_499_12_583
1,1,4.0,1,0,1,10.0,96.0,1,0.21449602,0.3368811,12.50277,41.89898,0,124.61132,False,False,True,False,False,True
2,0,6.0,1,0,0,10.0,98.0,2,6.5134397,0.27429026,12.42391,41.90447,1,173.00633,True,False,False,True,False,False
1,1,2.0,1,0,1,10.0,96.0,1,0.88045293,0.30792484,12.501,41.893,1,159.44638,False,False,True,False,False,True
2,0,4.0,1,1,0,10.0,97.0,2,3.8610952,0.06987101,12.52,41.933,1,161.7843,False,False,True,False,False,True
2,0,4.0,0,1,0,10.0,89.0,1,3.5143962,0.34654227,12.52725,41.87534,1,178.61736,False,False,True,False,False,True
2,0,4.0,1,0,0,10.0,95.0,1,2.390637,0.22846921,12.52546,41.88813,1,181.42287,False,False,True,False,False,True
2,0,4.0,1,0,0,10.0,95.0,1,2.293643,0.2679324,12.52518,41.88935,1,138.63885,False,False,True,False,False,True
2,0,4.0,0,0,0,10.0,100.0,2,0.37632298,0.32139096,12.50293,41.90422,0,219.06343,False,False,True,False,False,True
2,0,3.0,0,0,1,10.0,95.0,1,0.96774375,0.7100731,12.49669,41.90853,0,158.97879,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,100.0,1,1.2373865,0.7701786,12.49989,41.91187,0,195.91798,False,False,True,False,False,True
2,0,4.0,0,1,0,10.0,96.0,1,0.91816264,0.6049921,12.49899,41.90877,0,207.6076,False,False,True,False,False,True
1,1,3.0,1,1,0,10.0,80.0,1,7.2992816,0.29145584,12.56722,41.8566,0,138.40508,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,93.0,1,2.1979706,0.49958515,12.4769,41.90661,0,207.6076,False,True,False,False,True,False
1,1,4.0,0,1,0,8.0,100.0,1,1.1196768,0.9147503,12.51467,41.89694,1,113.155495,False,False,True,False,False,True
2,0,2.0,1,1,0,10.0,100.0,1,3.6589115,0.31422806,12.52624,41.87324,1,126.94924,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,100.0,1,3.0851445,1.2986257,12.46517,41.89887,0,184.46216,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,100.0,1,4.6955285,0.28078607,12.447,41.91,1,133.02785,True,False,False,True,False,False
1,1,2.0,0,0,1,10.0,85.0,1,2.0024087,0.7350937,12.49729,41.88323,0,140.743,False,True,False,False,True,False
2,0,4.0,1,0,0,9.0,93.0,2,1.2488896,0.10528837,12.48805,41.9046,0,265.1205,False,True,False,False,True,False
2,0,5.0,0,0,0,8.0,87.0,3,2.5958164,1.5974919,12.47214,41.89454,0,391.83597,False,True,False,False,True,False
1,1,2.0,0,0,1,9.0,80.0,1,0.25294983,0.35220516,12.50476,41.90216,0,126.24786,False,False,True,False,False,True
1,1,2.0,0,0,1,9.0,73.0,1,0.37759697,0.2981063,12.50354,41.90413,1,150.32848,False,False,True,False,False,True
1,1,2.0,1,1,0,10.0,97.0,1,4.233984,0.81245583,12.45127,41.89937,1,144.01608,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,95.0,0,1.8855603,0.60595536,12.48443,41.89034,0,210.88069,False,True,False,False,True,False
2,0,4.0,0,0,1,8.0,86.0,1,1.7518415,0.7173115,12.49698,41.8856,0,172.77254,False,True,False,False,True,False
