room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,city,realsum_cut,longitude_disc_2_093_2_347,longitude_disc_2_347_12_47,longitude_disc_12_47_12_583,latitude_disc_41_35_41_893,latitude_disc_41_893_48_837,latitude_disc_48_837_48_901
2,0,4.0,0,0,0,10.0,100.0,2,3.5025225,0.45421666,12.53763,41.88369,0,3,126.715454,False,False,True,True,False,False
1,1,5.0,0,0,0,8.0,92.0,2,0.51583153,0.12775955,2.35624,48.85254,0,2,730.03076,False,True,False,False,False,True
2,0,5.0,0,0,0,9.0,100.0,2,2.3618417,0.82898045,12.504,41.87965,0,3,172.77254,False,False,True,True,False,False
2,0,4.0,0,1,0,9.0,100.0,1,1.692157,0.29023167,2.37554,48.85891,0,2,671.07837,False,True,False,False,False,True
2,0,6.0,0,0,1,10.0,98.0,3,1.345889,0.19950724,12.487,41.905,1,3,373.36636,False,False,True,False,True,False
1,1,3.0,0,0,1,9.0,100.0,1,4.5469575,0.16796783,2.38051,48.89314,0,2,196.43024,False,True,False,False,False,True
1,1,2.0,0,0,1,10.0,98.0,1,1.8272479,0.541759,12.50353,41.88445,1,3,104.03759,False,False,True,True,False,False
1,1,2.0,0,0,1,9.0,94.0,1,0.21051806,0.19220999,12.50011,41.89985,0,3,155.47191,False,False,True,False,True,False
1,1,3.0,0,1,0,10.0,99.0,1,3.456442,0.48928082,12.51653,41.9301,1,3,131.3913,False,False,True,False,True,False
1,1,4.0,0,1,0,10.0,95.0,1,1.2893798,0.30415326,2.18269,41.39375,1,1,212.95413,True,False,False,True,False,False
2,0,6.0,0,1,0,10.0,94.0,2,3.6829536,0.31987232,12.45848,41.90636,1,3,274.23843,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,100.0,1,1.5047358,0.43566555,2.16043,41.39861,1,1,196.66255,True,False,False,True,False,False
1,1,2.0,1,0,0,10.0,99.0,1,5.367199,0.26715386,12.547,41.866,1,3,83.23007,False,False,True,True,False,False
1,1,2.0,0,0,0,9.0,83.0,1,0.7189651,0.22009641,2.17082,41.38069,0,1,136.38374,True,False,False,True,False,False
1,1,4.0,0,0,1,10.0,93.0,1,0.6567943,0.23266025,12.50278,41.90677,0,3,205.03589,False,False,True,False,True,False
1,1,2.0,0,0,0,9.0,92.0,1,1.1127931,0.20274915,2.16207,41.39518,0,1,208.53214,True,False,False,True,False,False
2,0,5.0,0,0,1,8.0,79.0,1,3.9223008,1.0399891,12.455,41.9,0,3,155.47191,False,True,False,False,True,False
2,0,4.0,1,1,0,10.0,94.0,1,7.5,0.19956774,12.41209,41.90554,0,3,120.87064,False,True,False,False,True,False
2,0,3.0,1,1,0,10.0,100.0,1,3.7313445,0.81621027,12.493,41.868,1,3,264.65292,False,False,True,True,False,False
2,0,5.0,0,0,1,9.0,88.0,1,2.163513,0.9387037,12.47623,41.89964,0,3,305.3328,False,False,True,False,True,False
2,0,4.0,1,0,0,10.0,94.0,1,4.1389756,1.2170706,12.453,41.895,0,3,184.46216,False,True,False,False,True,False
2,0,4.0,0,1,0,9.0,91.0,1,3.5359757,0.36872494,2.3448,48.88794,1,2,555.7368,True,False,False,False,False,True
2,0,6.0,1,0,0,10.0,99.0,2,3.9487915,0.22713254,12.53,41.872,0,3,161.5505,False,False,True,True,False,False
1,1,2.0,0,0,1,7.0,83.0,1,4.7367296,0.102008566,2.32787,48.89589,0,2,231.61525,True,False,False,False,False,True
1,1,2.0,1,0,0,9.0,94.0,1,2.042518,0.4735239,12.52453,41.90868,1,3,116.662384,False,False,True,False,True,False
1,1,3.0,0,0,0,10.0,91.0,1,4.932945,1.3942188,12.46664,41.86532,1,3,115.72721,False,True,False,True,False,False
1,1,3.0,0,0,1,9.0,89.0,1,0.6483946,0.44015628,12.50023,41.90651,0,3,103.8038,False,False,True,False,True,False
1,1,2.0,0,1,0,9.0,88.0,1,2.8101242,0.6226539,12.52211,41.92136,0,3,90.010056,False,False,True,False,True,False
1,1,2.0,0,0,0,10.0,90.0,1,1.9093362,0.78663397,12.50074,41.88372,1,3,104.03759,False,False,True,True,False,False
2,0,4.0,1,1,0,10.0,99.0,1,1.0071256,0.05071225,12.493,41.895,0,3,230.51926,False,False,True,False,True,False
2,0,4.0,0,0,0,9.0,95.0,1,3.3289716,0.24391215,2.3301,48.88252,0,2,329.94687,True,False,False,False,False,True
2,0,4.0,1,1,0,10.0,100.0,1,1.956244,0.24049132,12.48006,41.90682,1,3,335.02444,False,False,True,False,True,False
2,0,4.0,0,1,0,8.0,72.0,1,2.246591,0.042088285,2.34849,48.87658,1,2,614.22314,False,True,False,False,False,True
1,1,3.0,0,1,0,9.0,80.0,3,0.20886573,0.30542222,12.502,41.899,1,3,136.30093,False,False,True,False,True,False
1,1,2.0,0,0,1,10.0,89.0,1,1.8749069,0.2728253,2.36047,48.84049,0,2,251.42139,False,True,False,False,False,True
2,0,2.0,0,0,0,9.0,90.0,1,3.0922534,0.35389253,12.48654,41.87563,1,3,288.26596,False,False,True,True,False,False
2,0,3.0,0,0,0,9.0,93.0,2,1.8077105,0.21011448,2.37667,48.86047,0,2,519.1537,False,True,False,False,False,True
2,0,3.0,1,0,0,10.0,100.0,1,3.6147542,0.31015196,12.52665,41.87392,1,3,173.47392,False,False,True,True,False,False
2,0,6.0,0,0,0,9.0,88.0,3,4.3615465,0.40685144,12.45112,41.90997,1,3,263.48398,False,True,False,False,True,False
2,0,4.0,0,1,0,9.0,93.0,1,4.8820643,0.44069284,12.445,41.911,0,3,216.72551,False,True,False,False,True,False
2,0,2.0,0,1,0,10.0,96.0,1,2.7240262,0.24091657,12.53098,41.88902,1,3,173.47392,False,False,True,True,False,False
2,0,4.0,1,1,0,10.0,94.0,1,0.99560106,0.72526944,12.49762,41.90914,1,3,182.59183,False,False,True,False,True,False
1,1,2.0,0,0,0,10.0,96.0,1,5.1906557,1.0081197,2.17025,41.43389,0,1,113.57553,True,False,False,True,False,False
2,0,2.0,0,0,0,10.0,100.0,1,2.1358216,0.20645055,2.35045,48.87572,0,2,326.6847,False,True,False,False,False,True
2,0,2.0,1,1,0,10.0,100.0,1,3.6589344,0.31425038,12.52624,41.87324,0,3,126.715454,False,False,True,True,False,False
1,1,4.0,0,1,0,9.0,95.0,2,7.108491,0.7283076,12.45961,41.84538,1,3,92.11418,False,True,False,True,False,False
1,1,3.0,0,1,0,10.0,100.0,1,3.0083694,1.9108332,12.468,41.892,1,3,357.2347,False,True,False,True,False,False
2,0,2.0,0,0,1,10.0,100.0,0,2.3715823,0.16281646,2.33238,48.84,1,2,370.7242,True,False,False,False,False,True
2,0,2.0,0,0,1,10.0,93.0,1,1.9199768,0.8861986,12.48138,41.89341,0,3,221.40135,False,False,True,False,True,False
2,0,2.0,0,0,0,9.0,93.0,0,0.67898345,0.17589848,12.50209,41.89476,1,3,200.59383,False,False,True,False,True,False
1,1,2.0,0,0,0,10.0,95.0,1,2.3939936,0.06371355,2.14774,41.40069,0,1,365.62943,True,False,False,True,False,False
2,0,2.0,1,0,0,10.0,99.0,2,5.571663,0.17910136,2.28434,48.87837,0,2,387.9672,True,False,False,False,False,True
2,0,4.0,1,0,0,10.0,97.0,2,1.8286339,0.049739894,12.50951,41.88533,1,3,133.72922,False,False,True,True,False,False
2,0,4.0,1,0,0,9.0,94.0,2,2.852277,0.1671745,12.514,41.925,0,3,253.66469,False,False,True,False,True,False
1,1,2.0,0,0,1,9.0,90.0,1,1.3269188,0.4242139,2.18511,41.39082,0,1,202.48097,True,False,False,True,False,False
2,0,2.0,0,1,0,10.0,93.0,1,7.3484116,0.5608461,12.41477,41.91114,0,3,168.33049,False,True,False,False,True,False
1,1,2.0,0,1,0,7.0,82.0,1,2.12169,0.109398276,2.14523,41.38303,1,1,138.94385,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,100.0,1,1.9558747,0.31821138,2.37849,48.86115,0,2,359.07355,False,True,False,False,False,True
2,0,3.0,0,0,0,10.0,95.0,1,2.5140543,0.15776144,2.32699,48.84165,1,2,428.74454,True,False,False,False,False,True
2,0,3.0,0,1,0,10.0,93.0,1,2.6429267,1.3680289,12.47395,41.88996,1,3,219.531,False,False,True,True,False,False
1,1,3.0,0,0,1,9.0,86.0,1,0.5996707,0.370919,2.16344,41.3893,0,1,318.15115,True,False,False,True,False,False
2,0,4.0,1,0,0,10.0,98.0,1,2.7153847,0.90072024,12.50624,41.87661,0,3,161.5505,False,False,True,True,False,False
2,0,6.0,0,1,0,9.0,92.0,2,2.593667,1.5621161,12.472,41.895,1,3,344.60992,False,False,True,False,True,False
2,0,2.0,0,0,1,8.0,60.0,1,0.8445482,0.62949544,12.49821,41.90785,1,3,159.44638,False,False,True,False,True,False
