,mi_score,f_score,sign,corr,EN_coef,boruta_rank
room_type,0.3669339959651823,2.088e-320,1,0.5937149403727032,176.0393,1
room_private,0.37464251593557796,2.085e-320,1,-0.5937149403727032,-0.0067996355,1
person_capacity,0.3967421494491483,9.004930651388933e-308,1,0.5658003463920305,51.0551,1
host_is_superhost,0.18067375007573672,0.2638642416641356,0,0.05389477601205914,22.136229,2
multi,0.21893882924236108,1.1343349925176887e-25,1,-0.20652592326762528,-0.56702995,7
biz,0.28253349913950965,6.067392985968067e-89,1,0.39683679811154343,37.72916,3
cleanliness_rating,0.20265638552253895,0.3527229505726841,0,0.11651602477839104,8.39204,4
guest_satisfaction_overall,0.286422192343625,0.018313178999561138,1,0.08285077180385915,0.57012177,1
bedrooms,0.27490207742594475,1.7448003330177595e-176,1,0.410021066835522,43.658993,1
dist,0.374186685732778,6.411859518293746e-18,1,-0.28911206349457136,-18.583822,1
metro_dist,0.2506516198032047,0.008719334267160447,1,-0.09085930774215471,-3.864239,1
lng,0.3850268781160189,0.13265909163106585,0,0.033536443709755066,407.05603,1
lat,0.4514345567152471,0.009512915398710712,1,-0.08300352920757552,17.253742,1
is_weekend,0.1406998790015428,0.6772048034389521,0,0.0023942664714155493,44.004436,1
longitude_disc_2_093_2_161,0.19070955887997032,6.96588273317195e-05,1,-0.09555450281981147,-13.907234,8
longitude_disc_2_161_2_177,0.18580053733466473,8.737080783241731e-09,1,0.14223867971379958,-2.360851,5
longitude_disc_2_177_2_226,0.17255238601819833,0.08534612992133504,0,-0.045158942054314526,-10.743725,11
latitude_disc_2_093_2_161,0.16841032127346667,6.96588273317195e-05,1,-0.09555450281981147,-6.819397,10
latitude_disc_2_161_2_177,0.19766931486952588,8.737080783241731e-09,1,0.14223867971379958,-7.1293077,5
latitude_disc_2_177_2_226,0.16623545484073254,0.08534612992133504,0,-0.045158942054314526,-7.030373,8
