,mi_score,f_score,sign,corr,EN_coef,boruta_rank
room_type,0.22803568625698434,5.767459722425918e-57,1,0.2695116637372378,79.08591,5
room_private,0.22563420994852956,5.765933454680006e-57,1,-0.2695116637372378,-0.0008676238,4
person_capacity,0.41279501632756466,0.0,1,0.5169751944439639,56.637833,1
host_is_superhost,0.16995358039644137,0.011985861769582282,1,0.04323452772308687,25.96817,3
multi,0.18460669396821228,0.22330856297423918,0,-0.004392621499052722,45.571472,6
biz,0.2508278233588155,5.611138680846864e-35,1,0.20421260822007004,80.78567,1
cleanliness_rating,0.22066273912881318,1.0768017569464936e-09,1,0.07194247934807509,21.46536,1
guest_satisfaction_overall,0.31369978898590656,4.401615313837014e-05,1,0.07517182900241351,0.5838214,1
bedrooms,0.36739126848082115,5.158769139316164e-272,1,0.3520370688466833,106.849434,1
dist,0.42435559793333955,1.0246696678576365e-35,1,-0.23962666585614834,-49.511333,1
metro_dist,0.29316298731855905,0.005549698022855288,1,-0.04531656271341988,29.55373,2
lng,0.4261094736426081,9.221964201403212e-40,1,-0.22272303476140703,-2206.1582,1
lat,0.3685197267233873,0.0031095743536064657,1,-0.08618156995150292,181.5647,1
is_weekend,0.18496308700618158,0.18338057043692355,0,-0.012594906354436013,-12.052958,9
longitude_disc_2_248_2_332,0.21461051850738544,1.1158485101165297e-11,1,0.09959607671079657,-69.09256,13
longitude_disc_2_332_2_359,0.22181819408194947,3.388800357171289e-14,1,0.14020451334435677,-90.53537,7
longitude_disc_2_359_2_439,0.2318576308618705,1.2181500889718893e-47,1,-0.2404867225029523,-77.531296,8
latitude_disc_2_248_2_332,0.20789145413192456,1.1158485101165297e-11,1,0.09959607671079657,-83.7222,12
latitude_disc_2_332_2_359,0.22487476901179893,3.388800357171289e-14,1,0.14020451334435677,-80.58581,9
latitude_disc_2_359_2_439,0.20565034583577235,1.2181500889718893e-47,1,-0.2404867225029523,-82.02288,11
