,mi_score,f_score,sign,corr,EN_coef,boruta_rank
room_type,0.29366761887738946,0.0,1,0.5710547942449861,46.677677,1
room_private,0.30787185190430044,0.0,1,-0.5710547942449861,-0.0,1
person_capacity,0.315263507576963,0.0,1,0.516201884183274,14.289948,1
host_is_superhost,0.11267875603212607,2.7477573323555756e-08,1,0.08381005308641849,4.944411,3
multi,0.10180010942754825,5.851927163127277e-13,1,-0.0938674123889371,11.802547,8
biz,0.11993772020201243,3.911376441968537e-17,1,0.075212173363764,18.555641,10
cleanliness_rating,0.12894141743087584,0.011312694930759419,1,0.04602057529684737,7.4141355,2
guest_satisfaction_overall,0.2539580607723737,4.32810250182788e-05,1,0.1056160948126661,0.241685,1
bedrooms,0.18246397305886974,1.721212995834601e-251,1,0.3559769204264682,35.924362,1
dist,0.45714065370724644,2.2658990538144295e-85,1,-0.233027256568396,-12.212154,1
metro_dist,0.37066175324418804,0.00024142910091542986,1,0.09705275063773143,6.524281,1
lng,0.5193733497391051,4.148802972278318e-53,1,-0.18130468932522964,73.71366,1
lat,0.38948997051456047,6.58238099942714e-39,1,0.15170440407108043,439.43063,1
is_weekend,0.26499434213494055,0.002128665923039587,1,0.04319047582046796,5.238546,9
longitude_disc_12_401_12_471,0.09499434251088079,4.466596540545996e-07,1,-0.025467554078115465,-28.33956,5
longitude_disc_12_471_12_499,0.18271162726710033,2.3426713448452196e-242,1,0.37949694278121193,21.771338,1
longitude_disc_12_499_12_583,0.17848068438280462,1.4927492434673524e-168,1,-0.35390558951334666,-59.90413,5
latitude_disc_12_401_12_471,0.10656558033312002,4.466596540545996e-07,1,-0.025467554078115465,-20.138746,7
latitude_disc_12_471_12_499,0.16244198670010546,2.3426713448452196e-242,1,0.37949694278121193,-35.507168,1
latitude_disc_12_499_12_583,0.15829740273899295,1.4927492434673524e-168,1,-0.35390558951334666,-28.058449,5
